houseNumberGeomWKT,houseNumberId,houseNumberLabel
POINT (2.339872 48.845971),https://www.openstreetmap.org/node/10011203154,58 bis
POINT (2.338948 48.844291),https://www.openstreetmap.org/node/10011203160,64 bis
POINT (2.342823 48.851271),https://www.openstreetmap.org/node/10011383774,22 Bd
POINT (2.342577 48.85084),https://www.openstreetmap.org/node/10011383775,"24"
POINT (2.342814 48.851092),https://www.openstreetmap.org/node/10011383790,"22"
POINT (2.343528 48.852728),https://www.openstreetmap.org/node/10011608959,"8"
POINT (2.346526 48.860159),https://www.openstreetmap.org/node/10012361278,"22"
POINT (2.334203 48.869235),https://www.openstreetmap.org/node/10014164449,"4"
POINT (2.366245 48.852757),https://www.openstreetmap.org/node/10014255683,"6"
POINT (2.348076 48.879608),https://www.openstreetmap.org/node/10015455817,"10"
POINT (2.348548 48.864814),https://www.openstreetmap.org/node/10017020953,"6"
POINT (2.348573 48.864889),https://www.openstreetmap.org/node/10017020954,"8"
POINT (2.344081 48.84119),https://www.openstreetmap.org/node/10018929263,"88"
POINT (2.341711 48.857068),https://www.openstreetmap.org/node/10019638991,"41"
POINT (2.341585 48.857038),https://www.openstreetmap.org/node/10019638994,"13"
POINT (2.309906 48.85602),https://www.openstreetmap.org/node/10022244904,51bis
POINT (2.325798 48.846817),https://www.openstreetmap.org/node/10023408991,"92"
POINT (2.285532 48.859595),https://www.openstreetmap.org/node/10023427110,"12"
POINT (2.369587 48.865247),https://www.openstreetmap.org/node/1002548796,"117"
POINT (2.369697 48.865105),https://www.openstreetmap.org/node/1002548797,"115"
POINT (2.369785 48.864991),https://www.openstreetmap.org/node/1002548805,"113"
POINT (2.369921 48.864815),https://www.openstreetmap.org/node/1002548807,"111"
POINT (2.369419 48.865463),https://www.openstreetmap.org/node/1002548809,"119"
POINT (2.351367 48.863636),https://www.openstreetmap.org/node/10025838435,"60"
POINT (2.350665 48.862364),https://www.openstreetmap.org/node/10025838436,"46"
POINT (2.35056 48.862194),https://www.openstreetmap.org/node/10025838437,"44"
POINT (2.351135 48.863218),https://www.openstreetmap.org/node/10025838438,"58"
POINT (2.350089 48.861482),https://www.openstreetmap.org/node/10025838439,"36"
POINT (2.343743 48.853126),https://www.openstreetmap.org/node/10026947125,"2"
POINT (2.376886 48.861492),https://www.openstreetmap.org/node/10029257064,1 bis
POINT (2.340419 48.861661),https://www.openstreetmap.org/node/10030432905,"8"
POINT (2.34038 48.861627),https://www.openstreetmap.org/node/10030432907,"6"
POINT (2.364988 48.881274),https://www.openstreetmap.org/node/10031124740,"34"
POINT (2.348766 48.860219),https://www.openstreetmap.org/node/10031817018,"23"
POINT (2.367799 48.86049),https://www.openstreetmap.org/node/1003594237,"89"
POINT (2.379682 48.857066),https://www.openstreetmap.org/node/10036143580,"170"
POINT (2.379703 48.857112),https://www.openstreetmap.org/node/10036143581,"172"
POINT (2.379652 48.857014),https://www.openstreetmap.org/node/10036143582,"170"
POINT (2.378607 48.855203),https://www.openstreetmap.org/node/10036169908,"146"
POINT (2.378272 48.854603),https://www.openstreetmap.org/node/10036169910,"138"
POINT (2.378461 48.854951),https://www.openstreetmap.org/node/10036169911,"142"
POINT (2.378639 48.855257),https://www.openstreetmap.org/node/10036169912,"150"
POINT (2.379091 48.856041),https://www.openstreetmap.org/node/10036175192,"156"
POINT (2.379013 48.855897),https://www.openstreetmap.org/node/10036175193,"156"
POINT (2.373444 48.856331),https://www.openstreetmap.org/node/10036274325,"30"
POINT (2.373299 48.856521),https://www.openstreetmap.org/node/10036274334,"1"
POINT (2.375775 48.855963),https://www.openstreetmap.org/node/10036285311,"78"
POINT (2.355728 48.865099),https://www.openstreetmap.org/node/10045242721,"98"
POINT (2.383187 48.850555),https://www.openstreetmap.org/node/10045664638,"113"
POINT (2.353858 48.859055),https://www.openstreetmap.org/node/10045995157,"26"
POINT (2.330762 48.84375),https://www.openstreetmap.org/node/10047610749,"54"
POINT (2.343113 48.863958),https://www.openstreetmap.org/node/10048355315,"53"
POINT (2.344515 48.865063),https://www.openstreetmap.org/node/10048382143,"36"
POINT (2.34443 48.865063),https://www.openstreetmap.org/node/10048382145,"38"
POINT (2.344283 48.865099),https://www.openstreetmap.org/node/10048382146,"40"
POINT (2.347877 48.866155),https://www.openstreetmap.org/node/10048845477,"45"
POINT (2.347253 48.847284),https://www.openstreetmap.org/node/10048944675,"17"
POINT (2.351645 48.869759),https://www.openstreetmap.org/node/10049466567,5 bis
POINT (2.352021 48.869637),https://www.openstreetmap.org/node/10049466572,"5"
POINT (2.352242 48.869612),https://www.openstreetmap.org/node/10049466573,"1"
POINT (2.352075 48.869648),https://www.openstreetmap.org/node/10049466574,"5"
POINT (2.350119 48.870043),https://www.openstreetmap.org/node/10049466578,"19"
POINT (2.315952 48.8718),https://www.openstreetmap.org/node/10049566092,"9"
POINT (2.350662 48.869917),https://www.openstreetmap.org/node/10049833040,"11"
POINT (2.350957 48.869858),https://www.openstreetmap.org/node/10049833050,"9"
POINT (2.34246 48.856812),https://www.openstreetmap.org/node/10052538121,"18"
POINT (2.338884 48.85406),https://www.openstreetmap.org/node/10052538122,"51"
