Siècle;Identifiant;Type voie;Préposition voie;Nom voie;Dénomination complète;Dénomination complète minuscule;Arrondissement;Date de l'arrêté;Date de caducité;Code voie VdP;Quartier;Code voie DGFIP;Longueur voie;Largeur voie;Feuille parcellaire;Début voie;Fin voie;Numéro pair;Numéro impair;Alignement;Servitude;Historique;Dénomination;Classement;Observation;Numérotage;Origine du nom;Déclassement;Nivellement;Assainissement;Ouverture
;5836;;;Faubourg Saint-Honoré;FAUBOURG SAINT-HONORE;Faubourg Saint-Honoré;;;;;;;;;;;;;;;;Actuellement partie de la rue du Faubourg Saint-Honoré.;;;;;;;;;
;6525;rue;de la;Couronne;RUE DE LA COURONNE;rue de la Couronne;;;;;;;;;;;;;;;;Actuellement partie de la rue d'Arcole.;;;;;;;;;
;6526;chemin;de la;Couronne;CHEMIN DE LA COURONNE;chemin de la Couronne;;;;;;;;;;;;;;;;Supprimé. Il allait de la rue de Courcelles au chemin des Clos (Supprimé.).;;;;;;;;;
;6578;impasse;de la;Côte d'Or;IMPASSE DE LA COTE D'OR;impasse de la Côte d'Or;;;;;;;;;;;;;;;;Voir : Gilles (cour) (Entrepôts de Bercy).;;;;;;;;;
;6582;rue;;Corroier;RUE CORROIER;rue Corroier;;;;;;;;;;;;;;;;Actuellement partie supprimée de la rue de Venise.;;;;;;;;;
;6589;rue;des;Cordouagners;RUE DES CORDOUAGNERS;rue des Cordouagners;;;;;;;;;;;;;;;;Voir : Barthélemy (cul-de-sac).;;;;;;;;;
;6600;rue;des;Corderies;RUE DES CORDERIES;rue des Corderies;;;;;;;;;;;;;;;;Actuellement rue Sainte-Foy.;;;;;;;;;
;5261;rue;du;Grand Chantier;RUE DU GRAND CHANTIER;rue du Grand Chantier;03e;;1874-06-25;;Archives, Sainte-Avoye;;;;;;;;;;;Dénommée partie de la rue des Archives par arrêté préfectoral du 25 juin 1874, entre les rues des Haudriettes et Pastourelle. Elle faisait partie de la rue Neuve-du-Temple ou rue du Chantier du Temple. A l'origine, elle allait jusqu'à la rue Portefoin. Elle fut découpée en rue du Grand Chantier et rue des Enfants Rouges.;;;;;;;;;
;5926;rue;;Espaulart;RUE ESPAULART;rue Espaulart;;;;;;;;;;;;;;;;Actuellement partie de la rue Pierre au Lard.;;;;;;;;;
;5941;rue;des;Escarcuissons;RUE DES ESCARCUISSONS;rue des Escarcuissons;;;;;;;;;;;;;;;;Voir : Cargaisons (rue des).;;;;;;;;;
;6605;rue;de la;Corderie du Temple;RUE DE LA CORDERIE DU TEMPLE;rue de la Corderie du Temple;;;;;;;;;;;;;;;;Actuellement partie de la rue de Bretagne entre les rues de Beauce et du Temple.;;;;;;;;;
