Siècle;Identifiant;Type voie;Préposition voie;Nom voie;Dénomination complète;Dénomination complète minuscule;Arrondissement;Date de l'arrêté;Date de caducité;Code voie VdP;Quartier;Code voie DGFIP;Longueur voie;Largeur voie;Feuille parcellaire;Début voie;Fin voie;Numéro pair;Numéro impair;Alignement;Servitude;Historique;Dénomination;Classement;Observation;Numérotage;Origine du nom;Déclassement;Nivellement;Assainissement;Ouverture
;2965;rue;;Percée Saint-Antoine;RUE PERCEE SAINT-ANTOINE;rue Percée Saint-Antoine;04e;;;;Saint-Gervais;;;;;;;;;;;Dénommée rue du Prévôt par arrêté préfectoral du 1er février 1877. Variante Perciée, Percié ou encore Percée Saint-Paul.;;;;;;;;;
;2984;rue;de la;Pelleterie;RUE DE LA PELLETERIE;rue de la Pelleterie;04e;;1860-12-31;;Notre-Dame;;;;;;;;;;;Supprimée en 1860. Elle commençait rue de la Cité et finissait rue de la Barillerie (Supprimé.). D'après les anciens titres, elle se serait appelée rue Macra Madiana. Lacaille la nomme rue de la Vieille Pelleterie. Elle portait ce nom dès 1183. Un édit du roi, de 1786, prescrivit de démolir les maisons du côté de la rivière. On lui a donné, vers 1806, le nom de rue Desaix. Mais elle reprit le nom de la Pelleterie en 1814.;;;;;;;;;
;3003;rue;du;Pavillon du Roi;RUE DU PAVILLON DU ROI;rue du Pavillon du Roi;;;;;;;;;;;;;;;;Actuellement rue de Béarn et rue de Birague.;;;;;;;;;
;3015;rue;;Pavée;RUE PAVEE;rue Pavée;;;;;;;;;;;;;;;;Actuellement partie de la rue Traversière.;;;;;;;;;
;3380;rue;;Neuve Saint-René;RUE NEUVE SAINT-RENE;rue Neuve Saint-René;;;;;;;;;;;;;;;;Actuellement rue de Quatrefages.;;;;;;;;;
;3253;cul-de-sac;de l';Opéra;CUL-DE-SAC DE L'OPERA;cul-de-sac de l'Opéra;;;;;;;;;;;;;;;;Supprimé. Il débouchait sur la place du Palais Royal et conduisait au théâtre de l'Opéra. Il a aussi porté le nom de cour Auris, cour au Ris, cour Oris ou Orry, cour du Roi, cul-de-sac Courtavoye et cour Savoye.;;;;;;;;;
;3294;rue;du;Noyer;RUE DU NOYER;rue du Noyer;;;;;;;;;;;;;;;;Supprimé. Elle existait au XIVe siècle et aboutissait rue des Vieilles Haudriettes.;;;;;;;;;
;3308;passage;des;Nourrices;PASSAGE DES NOURRICES;passage des Nourrices;;;;;;;;;;;;;;;;Actuellement pas. Molière.;;;;;;;;;
;3330;parvis;;Notre-Dame;PARVIS NOTRE-DAME;parvis Notre-Dame;;;;;;;;;;;;;;;;Actuellement partie de la place du Parvis Notre-Dame.;;;;;;;;;
;3107;rue;du;Paon;RUE DU PAON;rue du Paon;;;;;;;;;;;;;;;;Supprimée lors du percement de la rue des Ecoles. Elle commençait rue Saint-Victor et finissait rue Traversine. Au XIIIe siècle, on la nommait rue Alexandre Langlais ou Langlois (Alexandri Anglici). En 1540, rue du Paon. De Chuyes la nommait aussi rue du Pan.;;;Dite aussi rue du Paon Saint-Victor;;;;;;
;3165;rue;des;Oublayeurs;RUE DES OUBLAYEURS;rue des Oublayeurs;;;;;;;;;;;;;;;;Ou Oubloyers ou encore Oublieurs. Actuellement partie de la rue Chanoinesse.;;;;;;;;;
;3179;rue;des;Orties du Louvre;RUE DES ORTIES DU LOUVRE;rue des Orties du Louvre;;;;;;;;;;;;;;;;Supprimée vers 1808. Elle commençait rue Saint-Thomas du Louvre (Supprimé.) et finissait à la place du Carrousel. C'était anciennement un chemin de halage et elle était bâtie d'un seul côté. En 1455, on la nommait la Grant Rue du Louvre. En 1530, rue du Louvre. En 1568, rue de Seyne. En 1603, rue Saint-Nicolas du Louvre. En 1623, rue des Galeries. En 1647, rue des Galeries du Louvre, autrement des Ortils. Verniquet écrit rue des Orties Saint-Louis. Vers son extrémité occidentale on l'a appelée rue de la Petite Monnoye ou Monnaye.;;;;;;;;;
;3182;rue;de l';Orsine;RUE DE L'ORSINE;rue de l'Orsine;;;;;;;;;;;;;;;;Actuellement rues Edouard Quénu, Broca et Léon-Maurice Nordmann.;;;;;;;;;
;3682;impasse;du;Moulin Joly;IMPASSE DU MOULIN JOLY;impasse du Moulin Joly;11e;;1929-12-09;;Folie-Méricourt;;;;;;;;;;;Dénommée rue du Moulin Joly par arrêté préfectoral du 9 décembre 1929.;;;;;Un moulin à vent était situé autrefois à l'extrémité de l'impasse et un sieur Joly avait établi un restaurant à côté de ce moulin.;;;;
;3694;chemin;du;Moulin à Vent;CHEMIN DU MOULIN A VENT;chemin du Moulin à Vent;;;;;;;;;;;;;;;;Actuellement rue Saint-Dominique.;;;;;;;;;
;3401;rue;;Neuve Saint-Jean;RUE NEUVE SAINT-JEAN;rue Neuve Saint-Jean;;;1851-07-09;;;;;;;;;;;;;Dénommée partie de la rue du Château d'Eau par arrêté préfectoral du 9 juillet 1851.;;;;;;;;;
;3406;rue;;Neuve Saint-Gervais;RUE NEUVE SAINT-GERVAIS;rue Neuve Saint-Gervais;03e;;;;Archives;;;;;;;;;;;Actuellement partie de la rue de Thorigny.;;;Dite aussi rue Saint-Gervais;;;;;;
;3418;rue;;Neuve Saint-Charles;RUE NEUVE SAINT-CHARLES;rue Neuve Saint-Charles;;;;;;;;;;;;;;;;Actuellement partie de la rue La Boétie.;;;;;;;;;
;3444;rue;;Neuve du Pont Saint-Michel dite de la Bouclerie;RUE NEUVE DU PONT SAINT-MICHEL DITE DE LA BOUCLERIE;rue Neuve du Pont Saint-Michel dite de la Bouclerie;;;;;;;;;;;;;;;;Actuellement partie de la rue de la Harpe.;;;;;;;;;
;3470;rue;;Neuve des Fossés Montmarat;RUE NEUVE DES FOSSES MONTMARAT;rue Neuve des Fossés Montmarat;;;;;;;;;;;;;;;;Ou Neuve des Fossés Montmartre. Actuellement rue Feydeau.;;;;;;;;;
;3507;rue;;Neuve de la Fidélité;RUE NEUVE DE LA FIDELITE;rue Neuve de la Fidélité;;;;;;;;;;;;;;;;Supprimée par le percement du boulevard de Strasbourg. Elle commençait rue du Château d'Eau et finissait rue de la Fidélité.;;;;;;;;;
;3533;rue;;Neuve Bourg l'Abbé;RUE NEUVE BOURG L'ABBE;rue Neuve Bourg l'Abbé;03e;;1881-01-24;;Sainte-Avoye;;;;;;;;;;;Dénommée rue du Bourg l'Abbé par arrêté préfectoral du 24 janvier 1881.;;;;;;;;;
;3566;rue;de;Nesle;RUE DE NESLE;rue de Nesle;;;;;;;;;;;;;;;;Actuellement partie de la rue Mazarine.;;;;;;;;;
;3569;porte;de;Nesle;PORTE DE NESLE;porte de Nesle;;;;;;;;;;;;;;;;Elle était située quai de Conti, sur l'emplacement du pavillon à l'est du palais de l'Institut. Elle avait porté primitivement le nom de Philippe Hamelin (enceinte de Philippe-Auguste).;;;;;;;;;
;3621;port;du;Musée;PORT DU MUSEE;port du Musée;;;;;;;;;;;;;;;;Actuellement port du Louvre.;;;;;;;;;
;3657;rue;du;Moutier;RUE DU MOUTIER;rue du Moutier;;;;;;;;;;;;;;;;Actuellement rue Saint-Etienne du Mont.;;;;;;;;;
;3833;rue;;Monfétard;RUE MONFETARD;rue Monfétard;;;;;;;;;;;;;;;;Actuellement rue Mouffetard.;;;;;;;;;
;15709;rue;de;Montigny;RUE DE MONTIGNY;rue de Montigny;;;;;;;;;;;;;;;;;;;;;;;;;
;632;rue;;Verte;RUE VERTE;rue Verte;;;;;;;;;;;;;;;;Actuellement partie de la rue du Chemin Vert.;;;;;;;;;
;425;rue;de la;Voirie;RUE DE LA VOIRIE;rue de la Voirie;;;;;;;;;;;;;;;;Actuellement rue Louis Blanc.;;;;;;;;;
;427;rue;de la;Voirie;RUE DE LA VOIRIE;rue de la Voirie;;;;;;;;;;;;;;;;Actuellement rue Cadet.;;;;;;;;;
;435;rue;de la;Voie Creuse;RUE DE LA VOIE CREUSE;rue de la Voie Creuse;;;;;;;;;;;;;;;;Actuellement rue Dareau.;;;;;;;;;
;449;allée;des;Violettes;ALLEE DES VIOLETTES;allée des Violettes;;;;;;;;;;;;;;;;Supprimé. Commençait voie en prolongement de la rue Emile Faguet, finissait allée des Lilas (Supprimé.).;;;;;;;;;
;465;boulevard;de;Vincennes;BOULEVARD DE VINCENNES;boulevard de Vincennes;12e;;1864-08-24;;Bel-Air, Bercy, Picpus, Quinze-Vingts;;;;;;;;;;;Dénommée avenue Daumesnil par décret impérial du 24 août 1864. Actuellement partie de l'avenue Daumesnil;;;;;;;;;
;481;grande rue;de la;Villette;GRANDE RUE DE LA VILLETTE;grande rue de la Villette;;;;;;;;;;;;;;;;Actuellement av. de Flandre et av. Corentin Cariou.;;;;;;;;;
;484;chaussée;de la;Villette;CHAUSSEE DE LA VILLETTE;chaussée de la Villette;;;;;;;;;;;;;;;;Actuellement av. de Flandre et av. Corentin Cariou.;;;;;;;;;
;496;impasse;;Villehardouin;IMPASSE VILLEHARDOUIN;impasse Villehardouin;03e;;1906-06-16;;Archives;;;;;rue Villehardouin, 4.;;;;;;Supprimée par décret du 16 juin 1906. Précédemment impasse Saint-Pierre et antérieurement cul-de-sac Saint-Pierre aux Marais.;;;;;"Geoffroi, sire de Villehardouin, chroniqueur du XIIe siècle ; voisinage de l'ancienne rue Saint-Louis, aujourd'hui rue de Turenne.";Décret présidentiel du 16 juin 1906.;;;
;563;rue;;Vieille Saint-Jean;RUE VIEILLE SAINT-JEAN;rue Vieille Saint-Jean;;;;;;;;;;;;;;;;Actuellement partie de la rue Censier.;;;;;;;;;
;583;rue;;Vieille Doucet;RUE VIEILLE DOUCET;rue Vieille Doucet;;;;;;;;;;;;;;;;Actuellement rue Vide-Gousset.;;;;;;;;;
;752;rue;des;Vaches;RUE DES VACHES;rue des Vaches;;;;;;;;;;;;;;;;Voir : Egout Saint-Germain (rue de l').;;;;;;;;;
;757;chemin;des;Vaches;CHEMIN DES VACHES;chemin des Vaches;;;;;;;;;;;;;;;;Actuellement rue des Saints-Pères.;;;;;;;;;
;771;voie;;U/11;VOIE U/11;voie U/11;11e;;1980-09-09;;Saint-Ambroise;;;;;;;;;;;Dénommée rue Marcel Gromaire par arrêté municipal du 9 septembre 1980.;;;;;;;;;
;944;rue;du;Tourniquet Saint-Jean;RUE DU TOURNIQUET SAINT-JEAN;rue du Tourniquet Saint-Jean;;;;;;;;;;;;;;;;Supprimée par l'agrandissement de l'Hôtel de Ville. Elle commençait rue du Martroi (Supprimé.), et finissait rue de la Tixeranderie (Supprimé.). Elle a porté les noms de rue du Pet au Diable, du Chevet Saint-Jean, du Cloître Saint-Jean, du Sanhédrin. En 1815, elle prit le nom de rue du Tourniquet.;;;;;;;;;
;7511;rue;de la;Butte;RUE DE LA BUTTE;rue de la Butte;;;;;;;;;;;;;;;;Actuellement partie de la rue Saint-Guillaume et rue Perronet.;;;;;;;;;
;8158;place;de la;Barrière de Reuilly;PLACE DE LA BARRIERE DE REUILLY;place de la Barrière de Reuilly;12e;;1864-12-30;;Picpus;;;;;;;;;;;Dénommée place Daumesnil par arrêté préfectoral du 30 décembre 1864. Actuellement partie de la place Félix Eboué.;;;;;;;;;
;8174;rue;des;Barrés;RUE DES BARRES;rue des Barrés;04e;;1867-02-26;;Saint-Gervais;;;;;;;;;;;Dénommée rue de l'Ave Maria par arrêté préfectoral du 26 février 1867. Actuellement rue de l'Ave Maria et partie de la rue du Fauconnier.;;;;;;;;;
;8222;rue ou sentier;des;Baltreux;RUE OU SENTIER DES BALTREUX;rue ou sentier des Baltreux;;;;;;;;;;;;;;;;Actuellement partie de la rue des Rondeaux.;;;;;;;;;
19;7591;rue;;Brantôme;RUE BRANTOME;rue Brantôme;03e;1864-08-24;;;Sainte-Avoye;;125;2,7;;rue Beaubourg, 29.;rue Saint-Martin, 162;20;25;;;Supprimée lors de l'aménagement du secteur des Halles. Précédemment rue des Petits Champs. Cette voie existait en 1273.;Décret du 24 août 1864.;;;;Pierre de Bourdeille, seigneur de Brantôme (1540-1614), chroniqueur.;Arrêté préfectoral du 30 août 1972;;;
;7612;impasse;;Bouvier;IMPASSE BOUVIER;impasse Bouvier;11e;;1994-01-14;;Sainte-Marguerite;;100;8;;rue des Boulets, 45.;;4;7;;;Dénommée partie de la rue Bouvier par arrêté municipal du 14 janvier 1994. Précédemment impasse du Prince Eugène.;;;;;M. Bouvier, propriétaire.;;;;
;7620;passage;;Boutarel;PASSAGE BOUTAREL;passage Boutarel;04e;;;;Notre-Dame;;;;;;;;;;;Actuellement rue Boutarel.;;;;;;;;;
;7624;rue;du;Bourtibou;RUE DU BOURTIBOU;rue du Bourtibou;;;;;;;;;;;;;;;;Voir : Bourg Thiébault (rue du).;;;;;;;;;
;7641;chemin;de;Bourg-La-Reine;CHEMIN DE BOURG-LA-REINE;chemin de Bourg-La-Reine;;;;;;;;;;;;;;;;Actuellement rue de la Tombe Issoire.;;;;;;;;;
;6942;place;du;Chevalier du Guet;PLACE DU CHEVALIER DU GUET;place du Chevalier du Guet;;;;;;;;;;;;;;;;Supprimée en 1852-1855 pour l'agrandissement des Halles Centrales. Elle était située entre les rues Perrin Gasselin et du Chevalier du Guet (Supprimé.).;;;;;;;;;
;6944;rue ou rue du;;Chevalier;RUE OU RUE DU CHEVALIER;rue ou rue du Chevalier;;;;;;;;;;;;;;;;Actuellement rue Honoré Chevalier.;;;;;;;;;
;4975;rue;;Heuleu;RUE HEULEU;rue Heuleu;;;;;;;;;;;;;;;;Voir : Grand Hurleur (rue du).;;;;;;;;;
;4983;rue;des;Hermites;RUE DES HERMITES;rue des Hermites;;;;;;;;;;;;;;;;Ou Hermite (rue de l'). Voir : Hermite (rue de l').;;;;;;;;;
;5602;ruelle;aux;Fouetteurs;RUELLE AUX FOUETTEURS;ruelle aux Fouetteurs;;;;;;;;;;;;;;;;Supprimé. Elle prolongeait la rue des Vignes, entre la rue de Chaillot et l'ancien égout du même nom.;;;;;;;;;
;5639;cul-de-sac ou rue;de la;Fosse aux Chiens;CUL-DE-SAC OU RUE DE LA FOSSE AUX CHIENS;cul-de-sac ou rue de la Fosse aux Chiens;;;;;;;;;;;;;;;;Actuellement imp. des Bourdonnais.;;;;;;;;;
;6327;rue;;Delots;RUE DELOTS;rue Delots;;;;;;;;;;;;;;;;Actuellement rue Sophie Germain.;;;;;;;;;
;7007;;;Chemin de Grande Communication N° 19;CHEMIN DE GRANDE COMMUNICATION N? 19;Chemin de Grande Communication N° 19;;;;;;;;;;;;;;;;Actuellement av. de la Porte de Montmartre.;;;;;;;;;
;5013;rue;;Hennequin le Faucheur;RUE HENNEQUIN LE FAUCHEUR;rue Hennequin le Faucheur;;;;;;;;;;;;;;;;Ou Hennequin. Voir : Hennequin (rue).;;;;;;;;;
;5652;rue;de la;Formagerie;RUE DE LA FORMAGERIE;rue de la Formagerie;;;;;;;;;;;;;;;;Voir : Fromagerie (rue de la).;;;;;;;;;
;6371;place;;Daumesnil;PLACE DAUMESNIL;place Daumesnil;12e;;1946-06-08;;Picpus;;;;;;;;;;;Dénommée place Félix Eboué par arrêté du 8 juin 1946.;;;;;"Le baron Pierre Yriex Daumesnil (Périgueux (Dordogne),1776 - Vincennes (Val-de-Marne), 1832), général qui a défendu le château de Vincennes en 1814 et 1815 ;";;;;
;5054;rue;du;Haut Roule;RUE DU HAUT ROULE;rue du Haut Roule;;;;;;;;;;;;;;;;Actuellement partie de la rue du Faubourg Saint-Honoré.;;;;;;;;;
;5699;ruelle;des;Fonds Verts;RUELLE DES FONDS VERTS;ruelle des Fonds Verts;12e;;;;Bercy;;;;;;;;;;;Actuellement rue des Fonds Verts.;;;;;Lieu-dit, quartier bas et marécageux de la vallée de Fécamp.;;;;
;7098;rue;de la;Chartreuse;RUE DE LA CHARTREUSE;rue de la Chartreuse;;;;;;;;;;;;;;;;Remplacée par la rue Beaujon. Elle allait de la rue Neuve de l'Oratoire (rue Washington) à l'av. Sainte-Marie (Supprimé.). Son tracé a été modifié et elle a été remplacée par la rue Beaujon.;;;;;;;;;
;5078;rue;de la;Harengerie;RUE DE LA HARENGERIE;rue de la Harengerie;;;;;;;;;;;;;;;;Voir : Vieille Harengerie (rue de la).;;;;;;;;;
;5080;rue;de la;Hanterie;RUE DE LA HANTERIE;rue de la Hanterie;;;;;;;;;;;;;;;;Voir : Tabletterie (rue de la).;;;;;;;;;
;6433;rue;du;Cul-de-sac Sans Chef;RUE DU CUL-DE-SAC SANS CHEF;rue du Cul-de-sac Sans Chef;;;;;;;;;;;;;;;;Actuellement rue Censier.;;;;;;;;;
;6452;barrière;de;Croulebarbe;BARRIERE DE CROULEBARBE;barrière de Croulebarbe;;;;;;;;;;;;;;;;Elle était située boulevard Auguste Blanqui presque en face de la rue Barrault.;;;;;;;;;
;4217;rue;;Malivaux;RUE MALIVAUX;rue Malivaux;;;;;;;;;;;;;;;;Actuellement partie de la rue des Barres.;;;;;;;;;
;4399;ruelle;des;Lilas;RUELLE DES LILAS;ruelle des Lilas;11e;;1873-11-10;;Saint-Ambroise;;;;;;;;;;;Dénommée impasse des Primevères par arrêté préfectoral du 10 novembre 1873;;;;;;;;;
;3949;petit chemin;de;Merle;PETIT CHEMIN DE MERLE;petit chemin de Merle;;;;;;;;;;;;;;;;Supprimé. Il existait en 1771, entre la vieille route d'Orléans (rue de la Tombe Issoire actuelle) et le chemin des Boeufs (aujourd'hui rues Dareau et Rémy Dumoncel).;;;;;;;;;
;3960;rue;;Merdelet;RUE MERDELET;rue Merdelet;;;;;;;;;;;;;;;;Ou Merderet. Voir : Pagevin (rue).;;;;;;;;;
;3981;rue;des;Ménestrels;RUE DES MENESTRELS;rue des Ménestrels;;;;;;;;;;;;;;;;Voir : Ménétriers (rue des).;;;;;;;;;
;3704;rue;;Moufetard;RUE MOUFETARD;rue Moufetard;;;;;;;;;;;;;;;;Actuellement rue Mouffetard.;;;;;;;;;
;3764;ruelle;du;Montparnasse;RUELLE DU MONTPARNASSE;ruelle du Montparnasse;;;;;;;;;;;;;;;;Actuellement rue Campagne Première.;;;;;;;;;
;3786;rue;;Montigny;RUE MONTIGNY;rue Montigny;;;;;;;;;;;;;;;;Actuellement rue de Poissy.;;;;;;;;;
;3790;passage;;Monthiers;PASSAGE MONTHIERS;passage Monthiers;;;;;;;;;;;;;;;;Voir : Epargne (pas. de l').;;;;;;;;;
;3791;rue;de;Montgallet;RUE DE MONTGALLET;rue de Montgallet;;;;;;;;;;;;;;;;Ou Mont Gallet (rue de). Voir : Mont Gallet (rue de).;;;;;;;;;
;4236;rue;de la;Maladerye;RUE DE LA MALADERYE;rue de la Maladerye;;;;;;;;;;;;;;;;Actuellement rue du Four.;;;;;;;;;
;4239;chemin;de la;Maladerie;CHEMIN DE LA MALADERIE;chemin de la Maladerie;;;;;;;;;;;;;;;;Ou Maladrerie. Actuellement rue de Sèvres.;;;;;;;;;
;4278;passage;de;Magenta;PASSAGE DE MAGENTA;passage de Magenta;;;;;;;;;;;;;;;;Supprimé par l'ouverture de la rue Botzaris. Il commençait rue de Crimée, finissait sentier de la Chaudière d'Enfer (Supprimé.).;;;;;;;;;
;4025;rue;;Maufetard;RUE MAUFETARD;rue Maufetard;;;;;;;;;;;;;;;;Actuellement rue Mouffetard.;;;;;;;;;
;4031;rue;;Matignon du Louvre;RUE MATIGNON DU LOUVRE;rue Matignon du Louvre;;;1808-12-31;;;;;;;;;;;;;Supprimée en 1808. Anciennement elle commençait rue des Orties et finissait, en faisant un retour d'équerre, à la rue du Doyenné. Elle avait été réduite à l'état d'impasse par la suppression de son débouché sur la rue du Doyenné. Cette dernière partie avait porté le nom de rue du Compas.;;;;;;;;;
;4048;cité;;Masson;CITE MASSON;cité Masson;;;;;;;;;;;;;;;;Supprimé. en 1888. Elle commençait rue Neuve de la Chardonnière et finissait boul. Ornano, 44.;;;;;;;;;
;4059;rue;du;Martroi Saint-Jean;RUE DU MARTROI SAINT-JEAN;rue du Martroi Saint-Jean;;;;;;;;;;;;;;;;Ou Martrai. Voir : Martrai (rue du).;;;;;;;;;
;4088;rue;;Marivaux des Lombards;RUE MARIVAUX DES LOMBARDS;rue Marivaux des Lombards;;;1851-02-18;;;;;;;;;;;;;Dénommée rue Nicolas Flamel par décret présidentiel du 18 février 1851 et arrêté préfectoral du 11 mars 1851.;;;;;;;;;
;4104;rue;des;Mariettes;RUE DES MARIETTES;rue des Mariettes;;;;;;;;;;;;;;;;Actuellement rue des Marmousets.;;;;;;;;;
;4135;ruelle;du;Marché du Marais;RUELLE DU MARCHE DU MARAIS;ruelle du Marché du Marais;03e;;;;Enfants-Rouges;;;;;;;;;;;Actuellement rue des Oiseaux.;;;;;;;;;
;4163;pont;aux;Marchands;PONT AUX MARCHANDS;pont aux Marchands;;;;;;;;;;;;;;;;Remplacé par le pont au Change.;;;;;;;;;
;4190;rue;des;Marais;RUE DES MARAIS;rue des Marais;;;;;;;;;;;;;;;;Actuellement partie de la rue de Malte.;;;;;;;;;
;4199;rue;;Maquignonne;RUE MAQUIGNONNE;rue Maquignonne;;;;;;;;;;;;;;;;Actuellement rue de l'Essai.;;;;;;;;;
;4207;passage;du;Manège;PASSAGE DU MANEGE;passage du Manège;;;;;;;;;;;;;;;;Actuellement partie de la rue de l'Abbé Grégoire.;;;;;;;;;
;4484;passage;;Lebègue;PASSAGE LEBEGUE;passage Lebègue;;;;;;;;;;;;;;;;Supprimé. par l'ouverture du boul. Saint-Germain. Il allait de la rue des Noyers à la place Maubert.;;;;;;;;;
;4485;quai;;Le Pelletier;QUAI LE PELLETIER;quai Le Pelletier;04e;;1868-04-02;;Saint-Merri;;;;;;;;;;;Dénommé partie du quai de Gesvres par arrêté préfectoral du 2 avril 1868.;;;;;;;;;
;4487;rue;;Le Masson;RUE LE MASSON;rue Le Masson;;;;;;;;;;;;;;;;Actuellement rue Champollion.;;;;;;;;;
;4492;rue;des;Lavandières Saint-Jacques;RUE DES LAVANDIERES SAINT-JACQUES;rue des Lavandières Saint-Jacques;;;;;;;;;;;;;;;;Ou Lavandières de la Place Maubert ou encore Lavandières. Supprimée par l'ouverture du boulevard Saint-Germain et par l'ouverture de la rue Lagrange. Elle allait de la place Maubert à la rue des Noyers. Cette voie était bordée de constructions vers 1230.;;;;;;;;;
;4287;rue;des;Madelonnettes;RUE DES MADELONNETTES;rue des Madelonnettes;;;;;;;;;;;;;;;;Actuellement rue des Fontaines du Temple.;;;;;;;;;
;4309;rue;de;Lyonne;RUE DE LYONNE;rue de Lyonne;;;;;;;;;;;;;;;;Actuellement partie de la rue Sainte-Anne.;;;;;;;;;
;4312;place;du;Lycée Louis le Grand;PLACE DU LYCEE LOUIS LE GRAND;place du Lycée Louis le Grand;;;;;;;;;;;;;;;;Voir : Poirées (rue des) ou Porées (rue des).;;;;;;;;;
;4315;villa;des;Lyannes;VILLA DES LYANNES;villa des Lyannes;;;;;;;;;;;;;;;;Actuellement villa des Lyanes.;;;;;;;;;
;7657;rue;de;Bourbon;RUE DE BOURBON;rue de Bourbon;;;;;;;;;;;;;;;;Voir : Poulies (rue des).;;;;;;;;;
;7666;rue;;Bouquetonne;RUE BOUQUETONNE;rue Bouquetonne;;;;;;;;;;;;;;;;Actuellement partie de la rue du Roi de Sicile.;;;;;;;;;
;7691;rue;de la;Boue;RUE DE LA BOUE;rue de la Boue;;;;;;;;;;;;;;;;Voir : Port-Royal (rue de).;;;;;;;;;
;7717;rue;;Botha;RUE BOTHA;rue Botha;;;1942-12-31;;;;;;;;;;;;;Supprimée en 1942. Commençait av. du Parc des Expositions (Supprimé.), finissait rue du Docteur Salathé (Supprimé.).;;;;;;;;;
;7730;porte;;Bordet;PORTE BORDET;porte Bordet;;;;;;;;;;;;;;;;Démolie en 1683. Elle était située à l'extrémité de la rue Bordet ou Bordelle. Guillot la nomme porte Saint-Marcel. Voir : Saint-Marcel (porte).;;;;;;;;;
;8332;barrière;d';Aunay;BARRIERE D'AUNAY;barrière d'Aunay;;;;;;;;;;;;;;;;Supprimé. Elle était située boul. de Ménilmontant, à l'extrémité de la rue de la Roquette. Elle a aussi porté le nom de la Folie-Regnault puis de Saint-André.;;;;;;;;;
;8342;rue, puis quai;des;Augustins;RUE, PUIS QUAI DES AUGUSTINS;rue, puis quai des Augustins;;;;;;;;;;;;;;;;Actuellement partie du quai des Grands Augustins.;;;;;;;;;
;7739;quai;des;Bons Hommes;QUAI DES BONS HOMMES;quai des Bons Hommes;;;;;;;;;;;;;;;;Actuellement avenue de New York.;;;;;;;;;
;7752;place;au;Bonhomme;PLACE AU BONHOMME;place au Bonhomme;;;;;;;;;;;;;;;;Supprimé. Cette place, ainsi dénommée dès 1322, avait servi de cimetière. En 1735, elle a été absorbée par l'agrandissement de l'église Saint-Jean en Grève.;;;;;;;;;
;7536;voie;;BR/12;VOIE BR/12;voie BR/12;12e;;1993-02-11;;Bercy;;;;;;;;;;;Dénommée place des Vins de France par arrêté municipal du 11 février 1993.;;;;;;;;;
;7537;voie;des;Bruyères;VOIE DES BRUYERES;voie des Bruyères;;;;;;;;;;;;;;;;Actuellement rue Blomet.;;;;;;;;;
;8233;rue;des;Bains;RUE DES BAINS;rue des Bains;;;;;;;;;;;;;;;;Actuellement partie de la rue du Baigneur.;;;;;;;;;
;8234;passage;des;Bains;PASSAGE DES BAINS;passage des Bains;;;;;;;;;;;;;;;;Supprimé. en 1898 par l'ouverture de la rue du Commandant Lamy.;;;;;;;;;
;7606;rue;de la;Boyauterie;RUE DE LA BOYAUTERIE;rue de la Boyauterie;;;;;;;;;;;;;;;;Ou Boyauderie. Voir : Boyauderie (rue de la).;;;;;;;;;
;7608;barrière;de la;Boyauterie;BARRIERE DE LA BOYAUTERIE;barrière de la Boyauterie;;;;;;;;;;;;;;;;Supprimé. Elle était située sur le boul. de la Villette, au droit de la rue de la Boyauterie (Actuellement rue Louis Blanc).;;;;;;;;;
;6287;rue;;Desgranges;RUE DESGRANGES;rue Desgranges;;;;;;;;;;;;;;;;Supprimée par l'ouverture de l'avenue de Wagram. Elle commençait rue de Courcelles et finissait rue Des Renaudes.;;;;;;;;;
;6949;passage;du;Cheval Rouge;PASSAGE DU CHEVAL ROUGE;passage du Cheval Rouge;;;;;;;;;;;;;;;;Supprimé. par l'ouverture du boul. de Sébastopol. Il allait de la rue Saint-Martin à la rue du Ponceau.;;;;;;;;;
;6962;chemin;;Vicinal Ordinaire N° 4;CHEMIN VICINAL ORDINAIRE N? 4;chemin Vicinal Ordinaire N° 4;;;;;;;;;;;;;;;;Actuellement rue Pierre Joseph Desault.;;;;;;;;;
;6976;passage;du;Chemin Vert;PASSAGE DU CHEMIN VERT;passage du Chemin Vert;11e;;;;Saint-Ambroise;;;;;;;;;;;Actuellement rue Moufle.;;;;;;;;;
;4991;chemin;du;Herbu;CHEMIN DU HERBU;chemin du Herbu;;;;;;;;;;;;;;;;Actuellement rue Notre-Dame des Victoires.;;;;;;;;;
;5637;barrière;de la;Fosse aux Lions;BARRIERE DE LA FOSSE AUX LIONS;barrière de la Fosse aux Lions;;;;;;;;;;;;;;;;Voir : Arcueil (barrière d').;;;;;;;;;
;5641;chemin;de la;Fosse à l'Aumosnier dit Herbu;CHEMIN DE LA FOSSE A L'AUMOSNIER DIT HERBU;chemin de la Fosse à l'Aumosnier dit Herbu;;;;;;;;;;;;;;;;Actuellement rue du Regard.;;;;;;;;;
;6316;passage;;Denain;PASSAGE DENAIN;passage Denain;;;;;;;;;;;;;;;;Actuellement rue Charles Lecocq.;;;;;;;;;
;6989;rue;du;Chemin de Mesnil Maudan;RUE DU CHEMIN DE MESNIL MAUDAN;rue du Chemin de Mesnil Maudan;;;;;;;;;;;;;;;;Voir : Chemin de Ménil Mautemps (Rue du).;;;;;;;;;
