landmarkId,landmarkType,nomOff,lang,timeType,timeStamp,timePrec,timeCal,statement
http://www.wikidata.org/entity/Q3449246,thoroughfare,rue Moret,fr,end,2024-02-08T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449246-1ABE412E-C625-40BA-B4C3-0D8388BE6945
http://www.wikidata.org/entity/Q3141845,thoroughfare,rue Napoléon,fr,end,1814-01-01T00:00:00Z,9,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3141845-00b44809-4a3b-0f27-03c7-32fd6ad0faf0
http://www.wikidata.org/entity/Q3141845,thoroughfare,rue Napoléon,fr,start,1806-01-01T00:00:00Z,9,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3141845-00b44809-4a3b-0f27-03c7-32fd6ad0faf0
http://www.wikidata.org/entity/Q1626241,thoroughfare,rue Neuve-Chabrol,fr,end,1847-02-18T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q1626241-87942efc-4138-b9f9-faee-e30d52ea1875
http://www.wikidata.org/entity/Q1626241,thoroughfare,rue Neuve-Chabrol,fr,start,1835-08-12T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q1626241-87942efc-4138-b9f9-faee-e30d52ea1875
http://www.wikidata.org/entity/Q124388047,thoroughfare,rue Neuve-Coquenard,fr,end,1877-01-01T00:00:00Z,9,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q124388047-fb46c553-46d9-bf87-e491-c4ee59d9804f
http://www.wikidata.org/entity/Q3450480,thoroughfare,rue Neuve de la Pelouse,fr,end,1868-01-01T00:00:00Z,9,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3450480-5f624fa2-4b0f-c851-e108-10a2d19d42f9
http://www.wikidata.org/entity/Q3449288,thoroughfare,rue Neuve-Notre-Dame,fr,start,1163-01-01T00:00:00Z,9,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449288-499EE166-A199-4440-A593-5BE00B447E98
http://www.wikidata.org/entity/Q3449291,thoroughfare,rue Neuve Tolbiac,fr,start,1995-07-18T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449291-68D82139-23AE-455C-AA84-5A1B8795BFC7
http://www.wikidata.org/entity/Q3449322,thoroughfare,rue Notre-Dame de Lorette,fr,start,1835-04-10T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449322-524770BA-E62B-48B4-BEE3-F590C8ACC155
http://www.wikidata.org/entity/Q3449324,thoroughfare,rue Notre-Dame de Nazareth,fr,start,1864-08-19T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449324-7FB5B547-DF4D-44D5-9F51-EE8CDD881420
http://www.wikidata.org/entity/Q3449359,thoroughfare,rue Pache,fr,start,1885-11-10T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449359-ADD79FB4-D814-4851-9680-7FFE168E8A9C
http://www.wikidata.org/entity/Q3449360,thoroughfare,rue Paganini,fr,start,1934-01-13T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449360-3FFF951B-B71F-4A73-A9E7-9C8668CF9DD6
http://www.wikidata.org/entity/Q123023868,thoroughfare,rue Pagevin,fr,end,1880-01-01T00:00:00Z,9,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q123023868-98c2fbfd-4740-1050-18d6-5d86bb39ee6e
http://www.wikidata.org/entity/Q3449361,thoroughfare,rue Paillet,fr,start,1877-02-01T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449361-E334C771-DC0D-4313-B872-8B31F7D6377A
http://www.wikidata.org/entity/Q3449365,thoroughfare,rue Pajol,fr,start,1865-10-02T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449365-FD5A9763-66BE-4CE8-9BA0-B41D4D5C8D7A
http://www.wikidata.org/entity/Q3449363,thoroughfare,rue Pajou,fr,start,1864-08-24T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449363-F9AF1F96-178E-48D4-B27B-B85A8CCAE9F1
http://www.wikidata.org/entity/Q3449384,thoroughfare,rue Pao Casals,fr,end,2004-01-01T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449384-9d87567d-4fa6-2e69-6f16-de73013958b5
http://www.wikidata.org/entity/Q3449368,thoroughfare,rue Papillon,fr,start,1780-09-02T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449368-082EC0E8-626A-44A0-A291-A210F70A1CE4
http://www.wikidata.org/entity/Q3449370,thoroughfare,rue Papin,fr,start,1864-03-02T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449370-323430BE-5202-4D87-A296-A218A49BEFAB
http://www.wikidata.org/entity/Q3449373,thoroughfare,rue Parent de Rosan,fr,start,1912-08-26T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449373-766DA932-F1F2-492A-ACFD-926B992382D4
http://www.wikidata.org/entity/Q3449375,thoroughfare,rue Pasquier,fr,start,1865-10-02T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449375-9BA2E06B-9417-4BE0-B6CA-1E236C32CE30
http://www.wikidata.org/entity/Q3449379,thoroughfare,rue Pastourelle,fr,start,1877-02-01T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449379-D4013520-AC3A-40C1-AE48-54A07C7D1161
http://www.wikidata.org/entity/Q3449380,thoroughfare,rue Patrice de La Tour du Pin,fr,start,1985-12-09T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449380-9B5456F5-F380-4B12-9C6B-4B0AAADA1A33
http://www.wikidata.org/entity/Q3449382,thoroughfare,rue Paturle,fr,start,1868-08-10T00:00:00Z,11,http://www.wikidata.org/entity/Q1985727,http://www.wikidata.org/entity/statement/Q3449382-4C6D1B22-5207-44EC-A4CB-7F078286FCF1
