houseNumberId,houseNumberLabel,houseNumberGeomWKT
https://www.openstreetmap.org/node/10314743465,2,POINT(2.318481 48.883266)
https://www.openstreetmap.org/node/10314783330,105,POINT(2.317833 48.882861)
https://www.openstreetmap.org/node/10314783331,100,POINT(2.317135 48.882788)
https://www.openstreetmap.org/node/10314783332,117,POINT(2.317054 48.882655)
https://www.openstreetmap.org/node/10314783333,107,POINT(2.317747 48.882841)
https://www.openstreetmap.org/node/10314783334,115,POINT(2.317304 48.882724)
https://www.openstreetmap.org/node/10314783335,107,POINT(2.317695 48.882825)
https://www.openstreetmap.org/node/10314816009,110,POINT(2.316342 48.882522)
https://www.openstreetmap.org/node/10314816010,102,POINT(2.316974 48.882744)
https://www.openstreetmap.org/node/10314816011,104,POINT(2.316870 48.882719)
https://www.openstreetmap.org/node/10314816012,112,POINT(2.316193 48.882453)
https://www.openstreetmap.org/node/10314816013,104,POINT(2.316786 48.882691)
https://www.openstreetmap.org/node/10314816014,116,POINT(2.315988 48.882353)
https://www.openstreetmap.org/node/10314816015,121,POINT(2.316754 48.882517)
https://www.openstreetmap.org/node/10314816016,123,POINT(2.316659 48.882496)
https://www.openstreetmap.org/node/10314918207,6,POINT(2.338373 48.885529)
https://www.openstreetmap.org/node/10316381851,7 bis,POINT(2.376853 48.878260)
https://www.openstreetmap.org/node/1035710951,12,POINT(2.361592 48.886177)
https://www.openstreetmap.org/node/1035710971,2,POINT(2.362593 48.886237)
https://www.openstreetmap.org/node/1035710975,4,POINT(2.362423 48.886226)
https://www.openstreetmap.org/node/1035710977,16,POINT(2.361276 48.886158)
https://www.openstreetmap.org/node/1035710990,1,POINT(2.362998 48.886156)
https://www.openstreetmap.org/node/1035711003,40,POINT(2.361467 48.884739)
https://www.openstreetmap.org/node/1035711022,59,POINT(2.361144 48.885676)
https://www.openstreetmap.org/node/1035711033,38,POINT(2.361486 48.884649)
https://www.openstreetmap.org/node/1035711039,6,POINT(2.362254 48.886216)
https://www.openstreetmap.org/node/1035711054,8,POINT(2.362004 48.886201)
https://www.openstreetmap.org/node/1035711073,54,POINT(2.361268 48.885808)
https://www.openstreetmap.org/node/1035833109,11,POINT(2.361859 48.886084)
https://www.openstreetmap.org/node/1035833111,15,POINT(2.361596 48.886068)
https://www.openstreetmap.org/node/1035833113,13,POINT(2.361732 48.886077)
https://www.openstreetmap.org/node/1035833118,17,POINT(2.361459 48.886060)
https://www.openstreetmap.org/node/1035833121,5,POINT(2.362409 48.886118)
https://www.openstreetmap.org/node/1035833122,57,POINT(2.361161 48.885591)
https://www.openstreetmap.org/node/1035833123,9,POINT(2.362023 48.886094)
https://www.openstreetmap.org/node/1035833124,19,POINT(2.361305 48.886051)
https://www.openstreetmap.org/node/1035833133,7,POINT(2.362207 48.886105)
https://www.openstreetmap.org/node/1036043623,2,POINT(2.367322 48.885050)
https://www.openstreetmap.org/node/1036512812,1,POINT(2.353855 48.884294)
https://www.openstreetmap.org/node/1044947581,5,POINT(2.360497 48.885218)
https://www.openstreetmap.org/node/1044947624,9,POINT(2.360566 48.885412)
https://www.openstreetmap.org/node/1044947643,7,POINT(2.360534 48.885321)
https://www.openstreetmap.org/node/1044947679,2,POINT(2.360598 48.884980)
https://www.openstreetmap.org/node/1044971020,17,POINT(2.360744 48.885902)
https://www.openstreetmap.org/node/1045005613,58,POINT(2.361149 48.886342)
https://www.openstreetmap.org/node/1045005620,56,POINT(2.361171 48.886229)
https://www.openstreetmap.org/node/1045105310,21 bis,POINT(2.361174 48.886869)
https://www.openstreetmap.org/node/1045105322,25,POINT(2.361409 48.887263)
https://www.openstreetmap.org/node/1045105325,23bis,POINT(2.361313 48.887104)
https://www.openstreetmap.org/node/1045105327,23,POINT(2.361225 48.886957)
https://www.openstreetmap.org/node/1046232429,29,POINT(2.361669 48.887769)
https://www.openstreetmap.org/node/10536400363,48,POINT(2.400778 48.854623)
https://www.openstreetmap.org/node/10539696009,81,POINT(2.408758 48.849176)
https://www.openstreetmap.org/node/10540402408,59,POINT(2.349042 48.890407)
https://www.openstreetmap.org/node/10572642920,5,POINT(2.349037 48.889908)
https://www.openstreetmap.org/node/10572642921,11,POINT(2.348723 48.890142)
https://www.openstreetmap.org/node/10572642922,86,POINT(2.348596 48.890518)
